Time;msDelta;Acc_X;Acc_Y;Acc_Z;Gyro_X;Gyro_Y;Gyro_Z;Tilt_X;Tilt_Y;Tilt_Z;Mag_X;Mag_Y;Mag_Z;Head;Temp;Press;Alt;Lat;Lng;Speed;AltGPS;HeadGPS
13;1001;0.7991;-0.5469;9.7684;-0.1099;-0.0854;0.0183;-3.2855;-4.7477;7.5421;3.1536;4.5861;-7.9379;324.1244;22.0450;1020.8375;9.5998;42.595219;-8.931442;1.3520;31.1000;0.0000
14;1082;0.8217;-0.5612;9.7722;-0.1332;0.0055;0.0000;-3.2929;-4.8100;7.5456;2.6491;4.3125;-8.3911;327.0417;22.0481;1020.8434;9.5515;42.595219;-8.931445;1.8150;30.7000;0.0000
15;1191;0.8111;-0.5479;9.7781;-0.0763;0.0051;0.0458;-3.2941;-4.7296;7.5572;2.4520;3.9024;-8.1377;326.4277;22.0512;1020.8409;9.5718;42.595219;-8.931448;1.7779;30.4000;0.0000
16;1191;0.8183;-0.5367;9.7964;0.0153;0.0559;-0.0051;-3.1522;-4.7205;7.6131;2.6372;4.0715;-8.1424;325.8535;22.0516;1020.8389;9.5883;42.595219;-8.931446;0.9075;30.1000;0.0000
17;1191;0.6269;-0.5419;9.7545;-0.1272;0.3052;0.1526;-3.2721;-4.3483;7.6534;2.0855;4.1575;-7.7532;331.9367;22.0520;1020.8361;9.6114;42.595219;-8.931446;2.2594;29.3000;0.0000
18;1091;0.4089;-0.5377;9.9470;0.2219;-0.3440;1.2928;-3.2689;-3.8327;8.2382;2.0287;4.7666;-7.8029;335.5576;22.0527;1020.8360;9.6124;42.595211;-8.931458;0.5186;28.2000;0.0000
19;1090;0.7626;-0.5264;9.7269;0.3773;-0.0943;2.4858;-2.8095;-3.4497;10.6098;1.8981;5.7256;-8.0415;340.0702;22.0579;1020.8423;9.5607;42.595211;-8.931465;0.9445;27.5000;0.0000
20;1190;1.2461;-0.4769;9.6943;0.4578;0.0458;0.1831;-2.7704;-5.1759;12.0845;1.5807;6.8173;-8.0345;345.5612;22.0596;1020.8340;9.6288;42.595207;-8.931469;1.5742;26.6000;0.0000
21;1169;0.8932;-0.3182;9.7613;0.1678;0.0153;0.7324;-2.4129;-5.2519;12.3624;1.5094;6.6104;-7.2684;345.7630;22.0629;1020.8308;9.6549;42.595207;-8.931475;2.2965;25.8000;0.0000
22;1091;1.2389;-0.1636;9.7926;0.3884;-0.3496;6.4531;-1.9146;-6.0545;15.8393;2.2720;7.5889;-7.0518;342.1451;22.0629;1020.8297;9.6644;42.595203;-8.931477;0.8149;25.3000;0.0000
23;1091;1.1754;-0.0753;9.6912;1.4482;0.3274;12.7286;-1.2974;-6.3331;26.7202;3.5603;11.8975;-6.7000;341.6935;22.0651;1020.8330;9.6369;42.595207;-8.931470;3.0373;24.8000;0.0000
24;1191;1.3052;-0.6759;9.7250;-0.6256;0.4934;2.0803;-2.1185;-6.2796;37.3517;1.4063;16.5355;-7.2226;263.4002;22.0670;1020.8367;9.6066;42.595215;-8.931459;3.5373;24.4000;0.0000
25;1091;1.3442;-1.3951;9.6330;-1.3816;0.2996;-13.8161;-4.8105;-7.1007;29.4404;1.3775;18.7178;-8.9185;233.7049;22.0680;1020.8437;9.5488;42.595222;-8.931419;8.0006;23.5000;81.0400
26;1091;1.2746;-1.2367;9.5729;-2.3082;0.3551;-11.3747;-6.3890;-8.5199;14.1144;2.8219;8.8989;-7.8507;340.6561;22.0661;1020.8454;9.5351;42.595222;-8.931384;12.1676;21.8000;85.6500
27;1191;1.2748;-0.5555;9.7091;0.0305;-0.3255;-0.1119;-5.6909;-8.1564;7.9820;1.7707;6.3314;-8.0518;342.7571;22.0640;1020.8711;9.3227;42.595219;-8.931340;14.2974;20.9000;85.9800
28;1190;1.3929;-0.7210;9.5918;-1.4750;0.4934;2.8636;-5.5051;-7.8433;10.3262;1.0514;7.8068;-8.0735;350.5794;22.0610;1020.9030;9.0596;42.595219;-8.931290;14.4641;19.7000;88.8300
29;1190;1.7992;-0.2975;9.2680;0.2492;1.3123;6.7851;-6.1363;-7.8214;15.6189;0.2154;10.6603;-8.8144;357.4460;22.0620;1020.9434;8.7248;42.595215;-8.931232;17.2051;18.8000;93.0200
30;1190;1.5396;0.7525;9.6692;2.6093;-1.9480;14.6332;-3.2433;-8.5272;29.5390;2.9500;15.4419;-8.1116;348.3302;22.0637;1020.9931;8.3145;42.595226;-8.931160;23.0204;18.2000;87.0200
31;1170;1.1656;0.0486;9.9097;0.5595;-0.4323;7.9549;0.5031;-8.6284;44.7208;6.2540;20.8968;-7.1959;341.9607;22.0599;1021.0597;7.7645;42.595337;-8.930984;30.8358;17.5000;51.6000
32;1190;1.1038;-0.6811;9.6054;0.0203;-0.0661;0.7884;-0.8995;-8.3015;48.9743;6.8790;22.2072;-6.6036;341.4118;22.0590;1021.1519;7.0034;42.595394;-8.930894;34.1694;15.9000;50.3500
33;1190;1.0806;-0.9092;10.0895;-0.7375;-1.3326;-0.7935;-2.8038;-7.9491;48.5358;7.5271;22.3702;-6.0876;340.0221;22.0598;1021.2621;6.0930;42.595451;-8.930803;38.3364;14.3000;48.9100
34;1217;1.0830;-0.6245;9.6752;0.2492;-0.0661;-0.2747;-3.1288;-7.8191;47.8345;7.6515;21.3050;-5.5068;338.8763;22.0612;1021.4152;4.8290;42.595516;-8.930696;41.3737;13.8000;50.6400
35;1190;1.0970;-0.8410;9.8837;-0.8341;-1.0071;-1.7598;-3.2863;-7.5288;46.7290;7.7817;20.4857;-5.3196;337.8182;22.0627;1021.5758;3.5023;42.595581;-8.930590;41.8182;12.0000;50.7600
36;1191;0.9841;-1.1712;10.1190;-0.7070;-1.3173;-3.0060;-4.8807;-7.3421;44.1591;6.4565;19.1064;-5.7154;339.9319;22.0630;1021.7042;2.4415;42.595711;-8.930353;43.8924;10.9000;55.1300
37;1191;0.7202;-1.1237;9.5380;-1.4954;0.5849;-1.9786;-6.6536;-7.0221;40.8824;5.5682;18.1278;-5.8179;341.5365;22.0603;1021.8137;1.5376;42.595768;-8.930229;45.5777;8.3000;56.9900
38;1164;0.1376;-0.7975;9.7183;-0.4171;-0.1628;-0.1729;-6.7680;-4.8784;39.2381;5.3287;17.9776;-5.8565;342.1034;22.0595;1021.9424;0.4757;42.595829;-8.930101;44.2628;7.6000;58.3200
39;1191;-0.4331;-0.7748;9.8335;-0.1577;-0.3866;0.0661;-5.9761;-2.3140;39.4881;5.0646;17.9578;-5.5969;342.8710;22.0595;1022.0711;-0.5869;42.595879;-8.929987;38.9476;6.1000;58.2000
40;1191;-0.6181;-0.5746;10.3423;1.2614;-1.1342;0.7884;-4.9631;0.1346;39.7073;5.8364;17.2899;-5.6354;340.0776;22.0582;1022.2083;-1.7188;42.595924;-8.929883;33.6694;5.0000;59.7400
41;1198;-0.0877;0.3027;10.0787;-0.3052;-0.5951;10.3302;-2.3795;1.2634;45.8157;7.8493;18.9429;-5.7913;336.0838;22.0580;1022.3395;-2.8026;42.596001;-8.929741;22.4648;4.1000;53.9600
42;1063;0.9475;0.5320;9.8291;1.8754;-2.8520;13.7773;-1.0322;-2.9363;59.5010;12.1194;22.3695;-4.8034;330.6237;22.0590;1022.4257;-3.5131;42.596043;-8.929696;19.7608;2.4000;43.0200
43;1191;0.7736;1.5129;9.6732;4.1046;1.7242;24.7955;4.9132;-5.4506;82.4712;25.2564;26.0389;-5.3750;314.7279;22.0582;1022.4922;-4.0620;42.596085;-8.929682;17.8162;1.1000;14.3300
44;1090;0.9057;2.4731;9.8661;4.9882;-3.8896;30.8838;8.4894;-9.1431;114.0276;40.0181;26.3378;-5.6701;302.2009;22.0573;1022.5336;-4.4038;42.596130;-8.929690;22.1684;0.0000;7.5500
45;1190;1.6732;2.0249;10.0417;4.8065;-2.6652;27.5675;9.8396;-14.3394;148.4619;50.8905;16.9566;-7.2342;287.0463;22.0587;1022.5728;-4.7275;42.596176;-8.929732;23.4648;-0.3000;349.6900
46;1091;2.4226;0.2971;9.6029;3.1794;-0.2996;12.4179;7.3519;-16.6058;171.8017;51.6919;8.6842;-8.2985;278.1003;22.0606;1022.5673;-4.6816;42.596191;-8.929810;23.1685;0.2000;324.8200
47;1190;2.5995;-0.3736;9.6122;1.0427;0.2797;-0.5391;2.7827;-16.1710;175.5496;49.6145;6.9143;-8.2036;276.5486;22.0627;1022.5783;-4.7727;42.596184;-8.929914;28.4838;-1.0000;285.9600
48;1091;2.3882;-0.5533;9.6064;-0.0000;0.6658;-0.4716;0.0929;-15.3154;174.8214;48.8190;7.9690;-10.6581;277.8910;22.0649;1022.5826;-4.8076;42.596195;-8.930150;38.4475;-2.1000;279.0000
49;1191;1.1767;-0.2516;9.7202;-0.8952;-0.2238;-0.3103;-0.9897;-12.4754;174.0331;50.1542;8.7200;-10.4802;278.4779;22.0673;1022.5878;-4.8508;42.596207;-8.930281;39.0402;-3.1000;279.5800
