Time ;msDelta ;Acc_X   ;Acc_Y   ;Acc_Z   ;Gyro_X  ;Gyro_Y  ;Gyro_Z   ;Tilt_X   ;Tilt_Y   ;Tilt_Z    ;Mag_X   ;Mag_Y   ;Mag_Z    ;Head     ;Temp    ;Press    ;Alt      ;Lat       ;Lng       ;Speed   ;AltGPS   ;HeadGPS
 553 ;   1002 ;0.3270  ;0.8430  ;10.2598 ;1.1902  ;-0.4883 ;6.0628   ;0.1932   ;-0.2303  ;101.8240  ;37.9562 ;23.9378 ;-47.7492 ;300.9036 ;22.1543 ;983.3354 ;324.1559 ;42.615192 ;-8.972091 ;49.1891 ;346.7000 ; 29.9800
 554 ;   1002 ;0.1392  ;2.8276  ; 9.9882 ;0.7273  ;-2.1057 ;12.6292  ;5.2432   ;-3.3659  ;111.7598  ;42.0284 ;24.1649 ;-47.3879 ;298.5095 ;22.1584 ;983.1976 ;325.3302 ;42.615334 ;-8.972089 ;49.4114 ;350.7000 ; 13.9900
 555 ;   1002 ;1.2180  ;2.9790  ;10.0588 ;2.3082  ;-0.8267 ;15.1589  ;11.3614  ;-5.9371  ;128.2829  ;44.3534 ;24.4168 ;-47.4274 ;297.4457 ;22.1595 ;983.0294 ;326.7627 ;42.615414 ;-8.972112 ;44.7628 ;352.2000 ;  4.9300
 556 ;   1002 ;1.3275  ;1.0862  ; 9.6393 ;0.3713  ;0.5137  ;8.3313   ;10.3642  ;-8.5680  ;141.6696  ;46.0028 ;24.2418 ;-47.8736 ;296.3885 ;22.1577 ;982.9084 ;327.7930 ;42.615517 ;-8.972162 ;43.5776 ;353.1000 ;353.3900
 557 ;   1002 ;0.1475  ;0.0000  ; 9.8423 ;0.4323  ;0.0763  ;2.3549   ;6.7328   ;-6.6257  ;147.3038  ;46.1618 ;24.4858 ;-48.3848 ;296.5421 ;22.1566 ;982.7533 ;329.1149 ;42.615646 ;-8.972192 ;45.1703 ;352.3000 ;351.5200
 558 ;   1002 ;0.5020  ;-1.0593 ; 9.5881 ;4.6886  ;0.8212  ;-1.5592  ;3.0961   ;-4.6138  ;147.9364  ;44.8537 ;25.2653 ;-48.0442 ;297.9820 ;22.1572 ;982.6517 ;329.9802 ;42.615776 ;-8.972213 ;46.3926 ;352.6000 ;354.0400
 559 ;   1002 ;-0.3968 ;-1.8626 ; 9.1995 ;-0.5747 ;-1.7548 ;-7.7616  ;-1.7189  ;-1.7775  ;142.7609  ;41.7221 ;24.2092 ;-47.5592 ;298.7455 ;22.1565 ;982.5401 ;330.9312 ;42.615910 ;-8.972223 ;48.1335 ;353.1000 ;357.5000
 560 ;   1002 ;0.6915  ;-3.0302 ;10.2697 ;-4.6082 ;-1.8514 ;-12.5631 ;-7.8424  ;-3.7083  ;130.5853  ;35.6029 ;21.4834 ;-46.4352 ;299.7527 ;22.1580 ;982.3964 ;332.1566 ;42.616032 ;-8.972201 ;48.8002 ;354.5000 ;  3.3700
 561 ;   1002 ;0.9443  ;-3.9147 ; 9.0284 ;-5.0354 ;-0.2187 ;-16.7694 ;-15.8894 ;-8.1143  ;113.7813  ;30.8077 ;19.6465 ;-47.8785 ;301.0762 ;22.1597 ;982.2059 ;333.7791 ;42.616146 ;-8.972136 ;49.1891 ;355.8000 ; 11.4800
 562 ;   1002 ;1.2693  ;-3.2092 ; 9.7721 ;0.0559  ;0.7935  ;-11.7137 ;-18.3398 ;-10.0122 ;96.7241   ;28.2804 ;16.9196 ;-48.3372 ;299.4689 ;22.1605 ;982.0300 ;335.2786 ;42.616150 ;-8.971930 ;47.2816 ;356.5000 ; 39.3900
