Time;msDelta;Acc_X;Acc_Y;Acc_Z;Gyro_X;Gyro_Y;Gyro_Z;Tilt_X;Tilt_Y;Tilt_Z;Mag_X;Mag_Y;Mag_Z;Head;Temp;Press;Alt;Lat;Lng;Speed;AltGPS;HeadGPS
1;1192;-0.5248;0.0837;9.7888;0.0000;0.0000;0.0000;0.4761;3.0794;-0.6921;-7.8788;-1.4226;27.5016;98.8635;21.9996;1020.8054;9.8654;42.595436;-8.931425;0.5556;61.1000;0.0000
2;1190;-0.5264;0.0825;9.7868;0.0000;0.0000;0.0000;0.4861;3.0817;-0.6921;-7.9652;-1.2982;27.4500;97.8760;22.0005;1020.8019;9.8943;42.595436;-8.931423;0.7223;60.9000;0.0000
3;1190;-0.5252;0.0857;9.7896;0.0000;0.0000;0.0000;0.4930;3.0817;-0.6921;-7.8090;-0.9211;27.2076;95.3390;22.0000;1020.7978;9.9280;42.595428;-8.931421;0.1852;60.0000;0.0000
4;1191;-0.5276;0.0841;9.7872;0.0000;0.0000;0.0000;0.4967;3.0826;-0.6921;-7.6950;-1.1710;27.3937;97.2489;21.9981;1020.8022;9.8917;42.595428;-8.931420;0.2222;60.1000;0.0000
5;1191;-0.5264;0.0837;9.7856;0.0000;0.0000;0.0000;0.4944;3.0853;-0.6921;-7.6965;-1.2573;27.3382;97.9138;21.9983;1020.8094;9.8318;42.595413;-8.931419;1.1297;58.8000;0.0000
6;1190;-0.5272;0.0837;9.7872;0.0000;0.0000;0.0000;0.4958;3.0867;-0.6921;-7.8934;-1.3179;27.1750;98.1165;21.9993;1020.8084;9.8406;42.595402;-8.931422;0.8334;56.5000;0.0000
7;1217;-0.5264;0.0817;9.7880;0.0000;0.0000;0.0000;0.4985;3.0881;-0.6921;-7.9455;-1.2263;27.2161;97.3744;21.9982;1020.8011;9.9009;42.595402;-8.931423;0.4630;56.1000;0.0000
8;1042;-0.5268;0.0857;9.7887;0.0000;0.0000;0.0000;0.4989;3.0882;-0.6921;-7.8689;-1.1570;27.0150;96.9659;22.0005;1020.8082;9.8424;42.595390;-8.931427;0.0926;54.7000;0.0000
9;1191;-0.6938;0.2939;9.6437;-3.1331;4.5115;2.9348;0.4129;3.1970;-0.6706;-7.9964;-1.0373;26.9165;96.0769;21.9986;1020.8176;9.7646;42.595375;-8.931429;0.9816;52.5000;0.0000
10;1091;-0.2932;-0.4581;9.5812;-2.1640;1.0875;-17.2785;-2.0619;3.0123;-5.8917;-3.3291;-3.5197;14.2246;148.2043;21.9957;1020.8151;9.7849;42.595356;-8.931433;1.6112;49.6000;0.0000
11;1091;-0.7204;-0.8822;10.1759;-14.1380;-11.0474;11.4580;-5.1066;4.2567;-13.3459;0.5317;1.6344;-2.8962;213.1777;21.9964;1020.8123;9.8089;42.595325;-8.931439;0.7038;44.8000;0.0000
12;1091;0.1649;-1.1319;9.7622;0.8212;-3.1128;4.5721;-7.2759;-2.4095;0.5159;0.9758;2.7748;-5.7082;339.7054;21.9967;1020.8323;9.6426;42.595310;-8.931446;0.5741;41.3000;0.0000
13;1190;0.9925;-0.6269;9.7545;5.0354;-4.1097;0.5391;-3.9427;-5.3371;8.4998;1.3498;4.4409;-5.7992;341.0693;21.9996;1020.8403;9.5770;42.595303;-8.931444;0.7593;40.0000;0.0000
14;1190;1.1752;0.5296;9.4603;4.6438;-0.2848;0.7121;1.1700;-7.8763;3.8860;3.1497;4.2872;-9.0357;322.4076;22.0003;1020.8313;9.6515;42.595303;-8.931442;0.3889;40.0000;0.0000
15;1191;1.1752;-0.5152;9.8686;-1.5462;-0.2289;0.3815;-2.8404;-6.6248;5.9454;2.0973;1.9526;-5.3657;311.5048;22.0036;1020.8532;9.4706;42.595295;-8.931441;1.4631;39.2000;0.0000
16;1191;1.0615;-0.6061;9.7163;0.9359;-0.1373;0.3204;-3.3893;-6.3881;6.8275;1.3714;3.4647;-6.6471;338.6968;22.0064;1020.8449;9.5386;42.595291;-8.931439;0.4815;38.1000;0.0000
17;1192;0.9802;-0.5938;9.7717;0.9359;0.5849;-0.0814;-3.2771;-5.9047;6.8069;3.2690;4.2358;-6.2288;322.3103;22.0071;1020.8519;9.4812;42.595276;-8.931448;1.3890;36.5000;0.0000
